"trans_date_trans_time","cc_num","merchant","category","amt","first","last","street","city","state","zip","lat","long","city_pop","job","dob","trans_num","unix_time","merch_lat","merch_long","is_fraud"
"2019-12-29 00:13:34",3533012926413100,"fraud_Cummings LLC","gas_transport",49.06,"Megan","Bernard","128 Nathan Ramp","Barneveld","NY",13304,43.2237,-75.1612,1684,"IT trainer","1994-03-01","6653bc53312b6e36e50e064f24f417d9",1356740014,42.665629,-74.556016,0
"2019-03-16 03:46:51",30373802285317,"fraud_Friesen-Stamm","gas_transport",48.93,"Nicholas","Osborne","7538 Carrie Meadow Suite 574","Claremont","CA",91711,34.1092,-117.7183,35705,"Wellsite geologist","1956-05-15","cab6fcbeda1467fb94adfcad523e1563",1331869611,34.034919,-117.135398,0
"2019-11-02 16:31:23",3540862542587229,"""fraud_Walter, Hettinger and Kessler""","personal_care",29.49,"Nancy","Roach","376 Brown Courts","Yellowstone National Park","WY",82190,44.7957,-110.6137,369,"Materials engineer","1941-11-16","b6d57da3169e3dec2b3feb6672029a88",1351873883,44.454862,-109.970895,0
"2020-01-23 08:57:04",3544606805704278,"fraud_Miller-Hauck","grocery_pos",140.16,"Carolyn","Thomas","755 Solis Isle Suite 075","New Memphis","IL",62266,38.4857,-89.6816,254,"Magazine journalist","1952-05-07","83c15fa252a022cb56e2b29fee251741",1358931424,37.565058,-89.601873,0
"2019-11-12 22:08:44",4992346398065154000,"fraud_Mosciski Group","travel",1.02,"Benjamin","Kim","920 Patrick Light","Mc Nabb","IL",61335,41.173,-89.2187,532,"Audiological scientist","1956-01-09","a649b6cd063d295abba5655879c0fcc2",1352758124,40.24274,-88.79415,0
"2020-01-09 11:03:40",180065479077096,"fraud_Thiel PLC","misc_pos",4.61,"Krystal","Gamble","47152 Clayton Burg","Manchester","MD",21102,39.6747,-76.8941,11751,"Clinical research associate","1964-02-15","ac5b2748f60ae4a3c844e19d635f2847",1357729420,39.092267,-77.099614,0
"2019-06-02 15:17:58",5456776410929288,"""fraud_Hoppe, Harris and Bednar""","entertainment",4.05,"Taylor","Khan","658 Diane Glen Apt. 677","North Washington","PA",16048,41.0472,-79.8089,139,"Patent attorney","1954-05-25","f1f976d2de3ea1376fe7621a1ac38cc0",1338650278,40.137172,-80.208854,0
"2020-06-14 14:04:16",213112402583773,"fraud_Swift PLC","kids_pets",10.3,"Ana","Howell","4664 Sanchez Common Suite 930","Bradley","SC",29819,34.0326,-82.2027,1523,"Research scientist (physical sciences)","1984-06-03","2c8bc4c2e3cb75f79e6dda3c8238d8d5",1371218656,34.065877,-82.283719,0
"2019-12-01 07:32:05",4497451418073897000,"""fraud_Kutch, Hermiston and Farrell""","gas_transport",88.31,"Elizabeth","Glover","246 Stewart Green Suite 149","West Monroe","LA",71291,32.5317,-92.176,54185,"""Radiographer, diagnostic""","1992-11-20","42c0d582238af1f74fc2fe951ed339e5",1354347125,31.69374,-93.141985,0
"2019-06-07 16:02:40",4328928491302401,"""fraud_Hermiston, Russel and Price""","food_dining",92.2,"Margaret","Ray","927 Cummings Manor Suite 318","Greendale","WI",53129,42.9373,-87.9943,13973,"Logistics and distribution manager","1981-05-06","17271c15e93dbf148d97524f3f572a28",1339084960,42.423703,-88.617906,0
"2019-09-29 04:19:16",4311368326621416000,"fraud_Fisher-Schowalter","shopping_net",96.24,"Phillip","Delacruz","26678 Lisa Locks Apt. 904","Iliff","CO",80736,40.7692,-103.0968,648,"Community arts worker","1969-09-21","799ccff3fb52e627e38ce0629053c09f",1348892356,40.852032,-103.594038,0
"2019-07-25 18:40:06",30541100351706,"""fraud_Schoen, Nienow and Bauch""","personal_care",52.64,"Derrick","George","575 Chapman Union","Spring","TX",77379,30.0377,-95.5326,316665,"""Education officer, museum""","1990-09-12","9e96ce974ef7c2ca76abd5a630336756",1343241606,30.293973,-95.467579,0
"2020-02-28 14:18:47",30175986190993,"fraud_Collier LLC","home",38.53,"Rebecca","Butler","0665 Lisa Alley","Winger","MN",56592,47.5375,-95.9941,516,"Applications developer","1966-06-07","5a2dd25cd7220005465620746e47000a",1362061127,47.101703,-95.475595,0
"2019-04-28 07:45:15",4890424426862857000,"fraud_Spinka Inc","grocery_net",67.58,"Jeremy","Whitney","0371 Aimee Neck Suite 856","Sacramento","CA",95827,38.5662,-121.3286,757530,"Magazine features editor","1979-04-30","866aa14eef822e8e001238a890fab1e0",1335599115,37.576834,-121.662944,0
"2019-07-04 12:54:32",4292743669224718000,"fraud_Swift PLC","kids_pets",32.83,"Michael","Williams","35822 Clayton Street Apt. 679","Great Mills","MD",20634,38.2674,-76.4954,5927,"Art therapist","1973-06-09","7b445cd67554fbe3d879a1d0efd243e0",1341406472,38.645152,-76.30489,0
"2020-02-22 21:29:36",676195318214,"""fraud_Turcotte, McKenzie and Koss""","entertainment",15.17,"Brandy","Quinn","9734 Beard Fields Suite 885","Altair","TX",77412,29.6047,-96.5249,106,"""Editor, film/video""","1983-07-24","8b488edfeff979e05591607dff0422b9",1361568576,30.25775,-95.714158,0
"2019-04-26 12:43:42",4189814094741,"""fraud_Turcotte, Batz and Buckridge""","health_fitness",112.49,"Jason","Farmer","33165 Larry Walks Suite 960","Ragland","AL",35131,33.7367,-86.1619,4159,"Educational psychologist","1998-02-03","6fdcca85c418ec21464494d9960a2349",1335444222,33.112273,-85.809253,0
"2019-07-23 22:24:05",36722699017270,"fraud_Kertzmann LLC","health_fitness",32.73,"Jessica","Perez","8172 Robertson Parkways Suite 072","Superior","AZ",85173,33.2887,-111.0985,2872,"Petroleum engineer","1987-10-28","28eec71d97e7725a346b9d5732ba03c6",1343082245,34.147179,-110.64506,0
"2019-08-12 23:36:16",4481131401752,"fraud_Spencer PLC","entertainment",99.65,"Frank","Foster","37910 Ward Lights","Shrewsbury","MA",1545,42.2848,-71.7205,35299,"English as a second language teacher","1975-04-30","bb4fcd4f9b6fdd626f07910f79d5fffc",1344814576,42.35574,-71.202033,0
"2019-01-21 16:43:05",213124978348176,"""fraud_Welch, Rath and Koepp""","entertainment",112.69,"Steven","Arnold","079 Chelsea Rest","Belfast","NY",14711,42.32,-78.0943,1766,"Mechanical engineer","1962-06-04","25c61a5c9ac48a138533f28ae55892fa",1327164185,41.660285,-78.946277,0
"2019-06-03 22:31:28",30551643947183,"fraud_Padberg-Rogahn","entertainment",41.18,"Morgan","Smith","1441 Bradley Place","Grover","NC",28073,35.1836,-81.4552,5621,"Toxicologist","1973-11-14","9bfd913c0a19d2d591c4814b5d856f86",1338762688,34.590425,-81.153198,0
"2019-12-16 06:03:51",6011652924285713,"""fraud_Christiansen, Goyette and Schamberger""","gas_transport",72.34,"Kathryn","Smith","19838 Tonya Prairie Apt. 947","Rocky Mount","MO",65072,38.2911,-92.7059,1847,"Tax inspector","1988-10-26","73e1a3b524c119f6f0a6164ee2949e75",1355637831,38.639782,-91.907483,0
"2020-02-16 22:13:07",3500969075198072,"fraud_Reilly LLC","home",126.81,"Kenneth","Sanchez","0110 Ashley Forest","Tekoa","WA",99033,47.2271,-117.0819,895,"Clothing/textile technologist","1999-05-31","ff83d2b4f305ebce4337ab1014164c9c",1361052787,47.738147,-116.822296,0
"2019-12-30 10:05:18",213154573301411,"fraud_Hudson-Grady","shopping_pos",132.22,"Christopher","Sheppard","39218 Baker Shoals","Bristow","IN",47515,38.1981,-86.6821,965,"Horticultural therapist","1982-02-10","b5a9eb6ddffa41ce07b2af2556713a2b",1356861918,37.891192,-86.739906,0
"2019-02-16 00:09:58",36078114201167,"""fraud_Hayes, Marquardt and Dibbert""","misc_net",9.43,"Christopher","Horn","956 Sanchez Highway","Mallie","KY",41836,37.2692,-82.9161,798,"Facilities manager","1926-06-26","0458f2ec50bf584013f6bdf1d7ff7814",1329350998,36.280384,-83.443678,0
"2019-11-14 08:48:19",3567527758368741,"fraud_Goodwin-Nitzsche","grocery_pos",150.05,"Amanda","Vance","14601 Downs Skyway Apt. 440","Sterling City","TX",76951,31.8351,-101.0017,1143,"""Scientist, biomedical""","1962-03-19","9de2b82810d5cc3b371b26124d2c84e8",1352882899,31.238888,-101.065888,0
"2020-06-21 05:01:19",4613314721966,"fraud_Spencer-Runolfsson","misc_pos",30.69,"Jason","Murphy","542 Steve Curve Suite 011","Collettsville","NC",28611,35.9946,-81.7266,885,"Soil scientist","1988-09-15","749e47993e56f2326b3c68ae9369121a",1371790879,36.164554,-82.182442,0
"2020-02-16 10:22:42",675909898057,"fraud_Kihn-Schuster","food_dining",33.12,"Christopher","Henry","1198 Robert Stravenue Apt. 479","Armonk","NY",10504,41.136,-73.7009,7987,"Television/film/video producer","1964-03-16","fa37775776b59ac059be1af0dc07e71d",1361010162,41.334324,-74.223034,0
"2019-12-16 14:21:10",180047222886866,"fraud_Cruickshank-Mills","entertainment",61.61,"Christine","Shaffer","14017 Thomas Plaza","Loami","IL",62661,39.6704,-89.8588,1213,"English as a foreign language teacher","1991-04-22","b3e0157f1b7b19e38daa2150441c0350",1355667670,39.827535,-89.580687,0
"2019-02-22 19:34:20",3591919803438423,"fraud_Hickle Group","shopping_pos",9.15,"Brian","Williams","32941 Krystal Mill Apt. 552","Titusville","FL",32780,28.5697,-80.8191,54767,"Set designer","1987-07-25","020c05bec55286d5fc8cc005fa8ec313",1329939260,29.3335,-81.01689,0
"2019-03-23 22:51:53",4642255475285942,"fraud_Bahringer Group","health_fitness",73.95,"Sabrina","Johnson","320 Nicholson Orchard","Thompson","UT",84540,38.9999,-109.615,46,"""Surveyor, minerals""","1987-04-23","caf573889e0fb9e79cb6649f5bfb2d68",1332543113,38.511598,-109.665609,0
"2019-06-08 15:40:46",30442439074871,"fraud_Fadel Inc","health_fitness",47.14,"Linda","Sanchez","6574 William Hill Apt. 375","Jermyn","PA",18433,41.5744,-75.5881,6508,"Training and development officer","1981-06-22","05743d981c5b2b42f2065ca50f3d9c55",1339170046,41.299509,-74.767944,0
"2020-05-08 22:10:56",4792627764422478000,"fraud_Will Ltd","food_dining",56.55,"Margaret","Mendez","7952 Karen Pike","De Soto","KS",66018,38.9462,-94.9714,5760,"Chief Executive Officer","1978-10-01","af597e1691d82072da972ccef6694ad2",1368051056,39.036882,-94.492027,0
"2019-03-27 10:09:06",6592861994408652,"""fraud_Schultz, Simonis and Little""","grocery_pos",95.65,"Ashley","Whitehead","58188 Madison Meadow Apt. 949","Cowlesville","NY",14037,42.8112,-78.4481,1166,"Colour technologist","1983-06-12","ce613fa1440142a918c11154d5ec9dd1",1332842946,42.086852,-77.892731,0
"2020-04-21 19:35:28",213173753804333,"fraud_Schmidt-Larkin","home",56.4,"Joseph","Wagner","822 Austin Spur","North Judson","IN",46366,41.2244,-86.6966,5791,"""Doctor, general practice""","1959-10-07","4e590535ac76172d04514788bfce779d",1366572928,40.509013,-86.246971,0
"2020-04-15 15:42:09",36913587729122,"""fraud_Bins, Balistreri and Beatty""","shopping_pos",3.96,"Ana","Mccormick","4503 Patricia Route","Meridian","ID",83646,43.6498,-116.4306,84106,"Intelligence analyst","1971-02-11","1d9cc66765170a512a0f6c0acc3cd203",1366040529,44.613423,-116.580431,0
"2019-08-11 00:47:16",30103132002433,"fraud_Shields Inc","grocery_net",62.99,"Stephanie","Middleton","99736 Rose Shoals Apt. 504","Morrisdale","PA",16858,41.0001,-78.2357,3688,"Dispensing optician","1987-10-26","c85a15f7aa56c1401f7ab4e94067e8d3",1344646036,41.007903,-78.402979,0
"2019-01-21 20:07:44",4149635823017,"""fraud_Labadie, Treutel and Bode""","shopping_net",5.35,"Samuel","Farrell","428 Michael Tunnel Apt. 377","Cleveland","AL",35049,33.9778,-86.5598,3996,"Aid worker","1977-06-14","fc9f1efab3073bf694e7b0787d16d581",1327176464,33.141556,-87.057321,0
"2020-02-08 07:05:24",6593939509150446,"fraud_Funk Group","grocery_net",106.25,"Margaret","Ward","244 Jeffery Rapids","Azusa","CA",91702,34.1248,-117.9031,59705,"Civil Service fast streamer","1983-06-23","87901e01d0462ec59931e9e0bb915aec",1360307124,34.125472,-117.362164,0
"2019-06-16 18:26:07",374930071163758,"fraud_Daugherty LLC","kids_pets",33.75,"Daniel","Escobar","61390 Hayes Port","Romulus","MI",48174,42.2203,-83.3583,31515,"Police officer","1971-11-05","bff4148d5a3f330b9d31f3596ffb14f6",1339871167,42.44668,-82.925762,0
"2019-07-29 23:46:12",3512365128314616,"fraud_Auer LLC","personal_care",12.77,"Francisco","Kemp","9554 Flores Drive","Arnold","MO",63010,38.4305,-90.387,35439,"Land/geomatics surveyor","1985-03-31","76bd0755386e37c5c06bc8638d0a7d18",1343605572,38.32235,-90.34148,0
"2019-04-05 13:38:36",30273037698427,"fraud_Howe PLC","entertainment",119.01,"Andrew","Patterson","06959 Stephen Branch Suite 246","Thida","AR",72165,35.5762,-91.4539,111,"Careers information officer","2000-06-13","08a11074a216000f6f4fc1c9cc12ac36",1333633116,36.066844,-91.510929,0
"2019-10-08 12:06:41",4745996322265,"""fraud_Lowe, Dietrich and Erdman""","kids_pets",34.91,"Carrie","Washington","6114 Adams Harbor Suite 096","Kingsford Heights","IN",46346,41.4802,-86.6919,1423,"""Psychologist, forensic""","1998-10-07","88e52f1da0e61a94b30e1dc8ff16bcde",1349698001,41.566876,-86.584163,0
"2019-07-12 14:32:12",4266200684857219,"fraud_Rau-Robel","kids_pets",28.08,"Joshua","Bryant","5452 Patricia Inlet Apt. 280","Nelson","NE",68961,40.201,-98.0684,732,"Television/film/video producer","1956-12-13","b4b323b8b9a131a547bc394310166708",1342103532,39.507445,-97.533727,0
"2019-07-18 10:55:42",2576709887791552,"fraud_Padberg-Welch","grocery_pos",101.98,"Joseph","Morgan","126 Underwood Drive","San Diego","CA",92128,33.0067,-117.069,1241364,"Chartered public finance accountant","1959-08-05","401aabacbe65dfdaa9697566d8dd0255",1342608942,33.909608,-117.005899,0
"2020-03-20 15:48:59",6011367958204270,"fraud_Hudson-Grady","shopping_pos",22.49,"Tammy","Ayers","1652 James Mews","Hinckley","OH",44233,41.2419,-81.7453,7646,"Medical sales representative","1988-09-15","dbe2f4681f352daa9b01305a225a1fd3",1363794539,41.824206,-81.498217,0
"2019-12-01 03:49:17",6011148190095209,"fraud_Hamill-Daugherty","misc_net",20.83,"Terri","Bailey","508 Erin Mount","Daly City","CA",94015,37.6787,-122.478,107941,"""Buyer, industrial""","1991-10-04","055b7a40769c4e644317bf064867a615",1354333757,38.172212,-122.39418,0
"2019-02-26 22:54:27",3523898249167098,"fraud_Torphy-Goyette","shopping_pos",3.42,"Joshua","Carpenter","04975 Allison Shoal","Bronx","NY",10463,40.8798,-73.9067,1382480,"""Therapist, drama""","1990-11-09","881084a9bb6b8999de19981135267683",1330296867,40.315258,-74.551926,0
"2020-02-23 17:35:47",503874407318,"fraud_Hamill-D'Amore","health_fitness",153.79,"Andrew","Mcgee","4130 Tiffany Glen Apt. 562","San Antonio","TX",78248,29.5894,-98.5201,1595797,"Exhibition designer","1975-12-28","3c726147d09f1b8cf340088b1ac6dd81",1361640947,30.192661,-97.915526,0
"2019-08-18 08:53:32",3526826139003047,"""fraud_Weimann, Kuhic and Beahan""","shopping_pos",8.23,"Nathan","Massey","5783 Evan Roads Apt. 465","Falmouth","MI",49632,44.2529,-85.017,1126,"Furniture designer","1955-07-06","9a2507cce13c6395685424bba2232c53",1345280012,45.241867,-85.365194,0
"2019-06-16 19:13:30",374656033243756,"fraud_Schmeler-Howe","personal_care",4.31,"David","Lewis","1499 Michael Rue","Arlington","VA",22213,38.8954,-77.1633,207410,"Mudlogger","1984-07-03","6e440bfec1639512ef820d0d9dc22a5d",1339874010,39.429425,-77.05422,0
"2019-10-05 08:44:12",213112402583773,"fraud_Doyle Ltd","grocery_pos",90.48,"Ana","Howell","4664 Sanchez Common Suite 930","Bradley","SC",29819,34.0326,-82.2027,1523,"Research scientist (physical sciences)","1984-06-03","6c673de3683ee6768ec87d4436d748ba",1349426652,33.198127,-82.967768,0
"2020-05-24 19:45:56",4906628655840914000,"""fraud_Hermiston, Russel and Price""","food_dining",5.72,"Charles","Moreno","838 Franklin Prairie Apt. 902","Key West","FL",33040,24.6557,-81.3824,32891,"Town planner","1987-02-13","6c8fe21883a72446831def22a452efb5",1369424756,25.423447,-82.324031,0
"2019-04-06 01:11:36",630471368021,"""fraud_Tillman, Dickinson and Labadie""","gas_transport",64.3,"George","Floyd","22502 Baker Mount Suite 241","Hazel","KY",42049,36.5422,-88.3319,1480,"""Designer, interior/spatial""","1974-09-14","ec2d39b944021d8b17661698b25da650",1333674696,37.272444,-89.139841,0
"2019-11-03 03:09:42",2610529083834453,"fraud_Huels-Nolan","gas_transport",34.82,"Tanya","Dickerson","053 Kim Valley Suite 928","Old Hickory","TN",37138,36.2416,-86.6117,22191,"Prison officer","1994-07-27","e21672fc88ba2e4e7e3fb07af5e70edf",1351912182,36.098406,-85.763079,0
"2020-06-20 14:09:12",6011917798331152,"fraud_Leannon-Ward","food_dining",126.37,"William","Johnson","50843 Vincent Mission","South Londonderry","VT",5155,43.1699,-72.8515,828,"Scientific laboratory technician","1957-08-30","d697e7ba0d301fb753dd09e73257e512",1371737352,43.652892,-72.631012,0
"2020-03-03 14:24:11",2450829271795901,"fraud_Reilly LLC","home",8.29,"Timothy","Kirby","7309 Sophia Causeway Suite 702","Sauk Rapids","MN",56379,45.604,-94.1591,16163,"Hydrographic surveyor","1987-02-22","7f761875769250b1380b2c62cdc783db",1362320651,45.590499,-93.195321,0
"2019-08-16 17:27:04",4497451418073897000,"fraud_Bins-Howell","personal_care",57.42,"Elizabeth","Glover","246 Stewart Green Suite 149","West Monroe","LA",71291,32.5317,-92.176,54185,"""Radiographer, diagnostic""","1992-11-20","6167b24e3010db0c1ac9de16c117be94",1345138024,31.990828,-93.019606,0
"2020-02-19 23:25:12",6011367958204270,"""fraud_Pouros, Walker and Spencer""","kids_pets",51.13,"Tammy","Ayers","1652 James Mews","Hinckley","OH",44233,41.2419,-81.7453,7646,"Medical sales representative","1988-09-15","1b85d6cb030838d2a077502692919572",1361316312,41.912117,-82.506891,0
"2020-03-26 11:10:48",180018375329178,"fraud_Kiehn-Emmerich","grocery_pos",204.88,"Michelle","Woods","952 Joseph Throughway","Munith","MI",49259,42.3703,-84.2485,2523,"Geophysicist/field seismologist","1988-03-21","9be9ff0589d6f7dd109c40c93dc98120",1364296248,42.058456,-83.753242,0
"2019-12-12 02:08:46",4239552724014407,"fraud_Ledner-Pfannerstill","gas_transport",104.32,"Carl","Hernandez","9134 Darryl Flat Suite 916","Paulding","OH",45879,41.141,-84.5722,6284,"Secondary school teacher","1936-03-27","9b54f26fcb968fea2450391654b6a4ab",1355278126,40.705268,-84.509823,0
"2019-08-23 17:03:28",30273037698427,"fraud_Gutmann-Upton","misc_pos",143.15,"Andrew","Patterson","06959 Stephen Branch Suite 246","Thida","AR",72165,35.5762,-91.4539,111,"Careers information officer","2000-06-13","8a2b486c10d332886f0cadd5a80d1b79",1345741408,34.692017,-91.777584,0
"2019-10-02 18:02:49",676195318214,"""fraud_Medhurst, Cartwright and Ebert""","personal_care",54.31,"Brandy","Quinn","9734 Beard Fields Suite 885","Altair","TX",77412,29.6047,-96.5249,106,"""Editor, film/video""","1983-07-24","59545a3b47d6883a7541ca166863913d",1349200969,29.295883,-97.305205,0
"2019-06-02 14:42:25",571365235126,"fraud_Conroy Ltd","shopping_pos",39.94,"Barbara","Taylor","0069 Robin Brooks Apt. 695","Elberta","MI",49628,44.5995,-86.2141,372,"""Exhibitions officer, museum/gallery""","1995-07-12","fa4a569c4c3476b46f7c6fa07d74c679",1338648145,44.147155,-86.904611,0
"2020-04-07 12:14:08",38014427445058,"""fraud_Hartmann, Rowe and Hermann""","travel",7.53,"Sonya","Jensen","4470 Jillian Courts","Adams","WI",53910,43.8967,-89.8219,3508,"Sport and exercise psychologist","1946-08-11","e740fc1d00b5e7f054a2c7925fe0755f",1365336848,44.829584,-89.597344,0
"2020-04-13 23:48:03",3598634130286287,"fraud_Brown-Greenholt","entertainment",39.37,"David","Hughes","707 Butler Parkways Apt. 747","Omaha","NE",68117,41.2064,-95.9953,518429,"""Surveyor, land/geomatics""","1995-10-10","627d20491de495d3ed883a80b07f2095",1365896883,41.247753,-96.972298,0
"2019-03-18 06:39:49",213161231269724,"fraud_Christiansen-Gusikowski","misc_pos",24.58,"Alyssa","Morgan","622 Robin Run Suite 764","Gadsden","AL",35901,34.048,-85.9246,67082,"Physiological scientist","1963-02-09","7a3bfb51b4fa6be313d3aaef69b647d7",1332052789,34.495166,-84.976719,0
"2019-08-03 12:41:47",3577794103155425,"fraud_Boyer-Reichert","shopping_net",8.2,"Mary","Humphrey","9853 Flynn Hollow Apt. 602","Reynolds","ND",58275,47.7068,-97.2092,733,"Visual merchandiser","1994-11-12","c56a39e9de104d5c2dd89c2a866e7d4f",1343997707,48.127824,-97.077548,0
"2019-01-01 06:20:49",6011893664860915,"fraud_Hudson-Ratke","grocery_pos",199.55,"Erin","Chavez","3379 Williams Common","Littleton","CO",80120,39.5994,-105.0044,320420,"Water engineer","1975-07-31","a5c13edd756f36c026630d13672974bd",1325398849,38.619691,-105.498059,0
"2019-05-25 14:55:24",30407675418785,"fraud_Adams-Barrows","health_fitness",16.18,"Danielle","Evans","76752 David Lodge Apt. 064","Breesport","NY",14816,42.1939,-76.7361,520,"Psychotherapist","1991-10-13","df4f1055ddfb3fc4072a70f1a5139beb",1337957724,42.265769,-76.198895,0
"2019-05-05 15:13:49",6593939509150446,"""fraud_Effertz, Welch and Schowalter""","entertainment",72.36,"Margaret","Ward","244 Jeffery Rapids","Azusa","CA",91702,34.1248,-117.9031,59705,"Civil Service fast streamer","1983-06-23","b27127a793b687794c0746b558185a8f",1336230829,34.357205,-118.126711,0
"2019-03-24 04:28:36",4247921790666,"fraud_Spinka-Welch","grocery_net",75.31,"Judith","Moss","46297 Benjamin Plains Suite 703","Washington Court House","OH",43160,39.537,-83.455,22305,"Television floor manager","1939-03-09","75c0b8288ba7885efe9b3958b55a7f74",1332563316,40.365168,-82.890411,0
"2019-09-02 12:05:12",3511058278399773,"fraud_Wilkinson PLC","kids_pets",109.98,"Briana","Santos","702 Tabitha Drive","New Goshen","IN",47863,39.5803,-87.4616,205,"""Engineer, mining""","1960-01-06","3151e5868994bf2c971685bfea6073dd",1346587512,39.186099,-87.876411,0
"2019-07-10 02:14:14",340103199302564,"fraud_Larson-Moen","entertainment",14.47,"Sophia","Dickson","9047 Rodriguez Turnpike","Gibsonville","NC",27249,36.1183,-79.5685,12486,"Arboriculturist","1934-02-09","26334d3123e7c43a70d563bec1056e28",1341886454,36.049342,-79.951635,0
"2019-09-27 05:05:44",2268221587779419,"fraud_Hintz-Bruen","grocery_net",68.4,"Peggy","Berry","517 Vasquez Lodge","Vancouver","WA",98665,45.6892,-122.6616,299480,"Teaching laboratory technician","1985-01-02","fcb6889128d08e362973b059a7184cf1",1348722344,44.707654,-122.438787,0
"2019-08-04 17:40:51",3586955669388457,"fraud_Lynch-Wisozk","home",85.11,"Benjamin","Rogers","24191 Elizabeth Mill","Bolivar","PA",15923,40.3673,-79.1605,1770,"""Administrator, local government""","1994-12-08","76b0ead3cd07ace9a0de31da05947a29",1344102051,40.715446,-78.207196,0
